Banco,Tipo,RandomForest_F1_Treino,RandomForest_F1_Teste
diabetes_prediction_dataset_dp_bootstrap_1.xlsx,DP,0.9999949999692035,0.8559139878772047
diabetes_prediction_dataset_dp_bootstrap_2.xlsx,DP,0.9999974999844922,0.8543000853198814
diabetes_prediction_dataset_dp_bootstrap_3.xlsx,DP,0.9999974999841619,0.8563027289686778
diabetes_prediction_dataset_dp_bootstrap_4.xlsx,DP,0.9999924999219125,0.8566882540595759
diabetes_prediction_dataset_dp_bootstrap_5.xlsx,DP,0.9999974999841281,0.8537861801080162
diabetes_prediction_dataset_dp_bootstrap_6.xlsx,DP,0.999994999968344,0.8562491433168941
diabetes_prediction_dataset_dp_bootstrap_7.xlsx,DP,0.9999949999687245,0.8564693295917299
diabetes_prediction_dataset_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9952117312461098,0.9554296018960622
diabetes_prediction_dataset_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,0.9945519384874848,0.9514988240104518
diabetes_prediction_dataset_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9947327631878263,0.9532724260746335
diabetes_prediction_dataset_k_anonimizado_codificado_bootstrap_4.xlsx,K-Anonimizado,0.9947738002379195,0.9529762858177169
diabetes_prediction_dataset_k_anonimizado_codificado_bootstrap_5.xlsx,K-Anonimizado,0.9938270909872401,0.9492241768845598
diabetes_prediction_dataset_k_anonimizado_codificado_bootstrap_6.xlsx,K-Anonimizado,0.9946041184872548,0.9520000495031594
diabetes_prediction_dataset_k_anonimizado_codificado_bootstrap_7.xlsx,K-Anonimizado,0.9948806710235054,0.954178915867819
diabetes_prediction_dataset_l_diverso_codificado_bootstrap_1.xlsx,L-Diverso,0.9867012281486192,0.8829457187670453
diabetes_prediction_dataset_l_diverso_codificado_bootstrap_2.xlsx,L-Diverso,0.9882642874596597,0.8846249593050428
diabetes_prediction_dataset_l_diverso_codificado_bootstrap_3.xlsx,L-Diverso,0.9868083092847473,0.8797532035858662
diabetes_prediction_dataset_l_diverso_codificado_bootstrap_4.xlsx,L-Diverso,0.9875365156871052,0.8797648811640528
diabetes_prediction_dataset_l_diverso_codificado_bootstrap_5.xlsx,L-Diverso,0.9895279329413278,0.8862303109184259
diabetes_prediction_dataset_l_diverso_codificado_bootstrap_6.xlsx,L-Diverso,0.9878574921654618,0.8835611512567862
diabetes_prediction_dataset_l_diverso_codificado_bootstrap_7.xlsx,L-Diverso,0.9886928020457532,0.8784156137236234
diabetes_prediction_dataset_t_close_codificado_bootstrap_1.xlsx,T-Close,0.9999888716799006,0.9895858282048392
diabetes_prediction_dataset_t_close_codificado_bootstrap_2.xlsx,T-Close,1.0,0.9881754246276365
diabetes_prediction_dataset_t_close_codificado_bootstrap_3.xlsx,T-Close,1.0,0.9895392480047918
diabetes_prediction_dataset_t_close_codificado_bootstrap_4.xlsx,T-Close,0.9999888716417047,0.9908163785340646
diabetes_prediction_dataset_t_close_codificado_bootstrap_5.xlsx,T-Close,0.9999777432289363,0.9887629738395081
diabetes_prediction_dataset_t_close_codificado_bootstrap_6.xlsx,T-Close,0.9999888721982151,0.989070348180084
diabetes_prediction_dataset_t_close_codificado_bootstrap_7.xlsx,T-Close,0.9999666156391276,0.9882921452169438
diabetes_t_close_codificado_bootstrap_1.xlsx,T-Close,0.9248854641747973,0.7263275514703399
diabetes_t_close_codificado_bootstrap_2.xlsx,T-Close,0.918153546351258,0.7058947937007302
diabetes_t_close_codificado_bootstrap_3.xlsx,T-Close,0.9208694667573057,0.7385078999309987
diabetes_t_close_codificado_bootstrap_4.xlsx,T-Close,0.9142365459813465,0.7298099683988526
diabetes_t_close_codificado_bootstrap_5.xlsx,T-Close,0.928236461335269,0.7228080307471976
diabetes_t_close_codificado_bootstrap_6.xlsx,T-Close,0.9226400333502844,0.761427006137698
diabetes_t_close_codificado_bootstrap_7.xlsx,T-Close,0.9478285702607783,0.7628309233224686
drug200_bootstrap_1.xlsx,Original,1.0,0.9650614365528426
drug200_bootstrap_2.xlsx,Original,1.0,0.9849904280624644
drug200_bootstrap_3.xlsx,Original,1.0,0.9596684413559691
drug200_bootstrap_4.xlsx,Original,1.0,0.9850344906893256
drug200_bootstrap_5.xlsx,Original,1.0,0.9700952477906565
drug200_bootstrap_6.xlsx,Original,1.0,0.9551043951508676
drug200_bootstrap_7.xlsx,Original,1.0,0.974640251744981
drug200_dp_bootstrap_1.xlsx,DP,1.0,0.8140368898962855
drug200_dp_bootstrap_2.xlsx,DP,1.0,0.8292173329924187
drug200_dp_bootstrap_3.xlsx,DP,1.0,0.8451812021411165
drug200_dp_bootstrap_4.xlsx,DP,1.0,0.8349593495934959
drug200_dp_bootstrap_5.xlsx,DP,1.0,0.8182909399089245
drug200_dp_bootstrap_6.xlsx,DP,1.0,0.8051680400190492
drug200_dp_bootstrap_7.xlsx,DP,1.0,0.8050282366328579
drug200_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9898529168588375,0.7439249203955086
drug200_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,1.0,0.8098726614516087
drug200_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9898443079480304,0.799287031051737
drug200_k_anonimizado_codificado_bootstrap_4.xlsx,K-Anonimizado,0.9662684247584268,0.6372295242883478
drug200_k_anonimizado_codificado_bootstrap_5.xlsx,K-Anonimizado,0.9864127669333922,0.890997150997151
drug200_k_anonimizado_codificado_bootstrap_6.xlsx,K-Anonimizado,1.0,0.8629539969834086
